lfd_nr;thema_id;thema_name;zeile;kapitel;schwierigkeit;typ;zeichen;frage;loesung;einheit;anmerkung;erklaerung;hilfe;von;2;3;4;5;6;7;8;9
D0006_Do;5;Druck;1;Druck;3;a;;Warum geht der Deckel von neuen Konservengläsern so schwer auf?;Das liegt an unserem Luftdruck;;;;;1834;;;;;;;;
D001_Do;5;Druck;1;Druck;1;1o3Y;;Wie lautet die Definition  für den Druck?;Druck=Kraft/Fläche;;;;;;Druck=Kraft:Fläche;;;;;;;
D002_Do;5;Druck;1;Druck;1;1;;Wie lautet die Definition des Drucks als Formel?;p=F/A;;;;;;;;;;;;;
D003_Do;5;Druck;1;Druck;1;1;;Welcher Buchstabe ist das Symbol für den Druck?;p;;;;;;;;;;;;;
D004_Do;5;Druck;1;Druck;1;1u(2o3);;Wie heißen die Einheiten des Drucks?;Pascal und Bar;;;;;;Pascal;Bar;;;;;;
D005_Do;5;Druck;1;Druck;1;p1;;Wie nennt man so ein Gerät ?;Barometer;;;;;;;;;;;;;
E001_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Wie ist das Symbol des Widerstandes (Das Symbol - nicht die Einheit   !;R;;;;;;;;;;;;;
E002_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Wie heißt die Einheit des elektrischen Widerstandes (Ausgeschrieben - nicht die Abkürzung!)?;Ohm;;;;;;;;;;;;;
E003_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Wie heißt die Einheit der Stromstärke (Ausgeschrieben - nicht die Abkürzung !)?;Ampere;;;;;;;;;;;;;
E004_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Wie ist das Symbol der Stromstärke (Das Symbol - nicht die Einheit !)?;I;;;;;;;;;;;;;
E005_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Wie kürzt man die Einheit der Stromstärke ab ?;A;;;;;;;;;;;;;
E006_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Wie heißt die Einheit der Spannung (Ausgeschrieben - nicht die Abkürzung !)?;Volt;;;;;;;;;;;;;
E007_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Wie ist das Symbol der Spannung (Das Symbol - nicht die Einheit !)?;U;;;;;;;;;;;;;
E008_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1o3;;Welchen Widerstand hat eine Lampe mit der Aufschrift : 12Volt und 0,2A ?;60Ohm;;;;;;60Ω;60 Ohm;;;;;;
E009_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1o2;;Welche Stromstärke fließt durch einen 100 Ohm Widerstand, wenn eine Spannung von 5 Volt anliegt?;0,05A;;;;;;50mA;;;;;;;
E010_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1o3;;Wie lautet das ohmsche Gesetz als Formel?;U=R*1;;;;;;R=U/I;R=U:I;;;;;;
E011_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;2;(2u4)u(5o6);;Wovon hängt der Widerstand eines Drahtes ab?;Länge, Querschnitt, Material und Temperatur;;;;;;Länge;Temperatur;Material;Querschnitt;Querschnittsfläche;;;
E012_Do;3;Elektrizitätslehre;1;Magnete;1;1Z;;Was passiert mit den Polen eines Magneten wenn man ihn auseinander bricht?;Die beiden Stücke haben jeweils wieder einen Nord- und Südpol;;;;;;;;;;;;;
E013_Do;3;Elektrizitätslehre;1;Magnete;1;1o3Z;;Welche Stoffe werden von einem Magneten angezogen;Eisen, Kobald und Nickel;;;;;;ferromagnetische Stoffe;ferromagnetische Materialien;;;;;;
E014_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1o(2u4);;Aus welchen drei Elementarteilchen besteht ein Atom normalerweise?;Proton, Elektron und Neutron;;;;;;Proton;Neutron;Elektron;;;;;
E015_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1o2Y;;Was versteht man unter einem Ion?;elektrisch geladenes Teilchen;;;;;;elektrisch geladen;;;;;;;
E016_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1o3;;Welche elektrische Ladung hat ein Anion?;negativ;;;;;;Minus;-;;;;;;
E017_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1o3;;Welche elektrische Ladung hat ein Kathion?;positiv;;;;;;Plus;+;;;;;;
E018_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1o3;;Welche elektrische Ladungen ziehen sich an?;ungleichnamige;;;;;;plus und minus;minus und plus;;;;;;
E019_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1o3;;Welche elektrische Ladungen stoßen sich ab?;gleichnamige;;;;;;plus und plus;minus und minus;;;;;;
E020_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1;;Welche Atomteilchen sind für den elektrischen Strom verantwortlich?;Elektronen;;;;;;Elektronen;;;;;;;
E021_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1o2f3;;Das gelbe ist eine Lampe. Ist das Spannungsmessgerät das grüne oder das blaue ?;das grüne;;;;;;grün;blau;;;;;;
E022_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1o2f3;;Das gelbe ist eine Lampe. Ist das Stromstärkemessgerät das grüne oder das blaue ?;das blaue;;;;;;blau;blau;;;;;;
E023_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;1;;Die Lampen haben alle die gleichen Werte und auch die Spannungen sind gleich. Welche Lampe leuchtet am hellsten ?;4;;;;;;;;;;;;;
